i getaccept E*A dH rho ddH Q
61 1 4.778399690688784e-01 3.312670278443619e-05 1.000000000000000e+00 NA -0.000000000000000e+00
62 1 4.825113544392699e-01 -5.057488521398312e-05 1.000000000000000e+00 NA -0.000000000000000e+00
63 1 4.712699615428498e-01 1.054286278323602e-04 1.000000000000000e+00 NA -0.000000000000000e+00
64 1 4.755201006966273e-01 5.627031815613748e-06 1.000000000000000e+00 NA -0.000000000000000e+00
65 1 4.674160867003475e-01 1.015012255516368e-04 1.000000000000000e+00 NA -0.000000000000000e+00
66 1 4.578325262629739e-01 1.411379172866489e-04 1.000000000000000e+00 NA -0.000000000000000e+00
67 1 4.658140950206873e-01 -1.136752952088926e-04 1.000000000000000e+00 NA -0.000000000000000e+00
68 1 4.655993614691530e-01 1.607713744800066e-05 1.000000000000000e+00 NA -0.000000000000000e+00
69 1 4.700310875769279e-01 -1.191499686301611e-04 1.000000000000000e+00 NA -0.000000000000000e+00
70 1 4.646699403656863e-01 5.064797222242845e-05 1.000000000000000e+00 NA -0.000000000000000e+00
71 1 4.726705885166288e-01 -1.170142805602126e-04 1.000000000000000e+00 NA -0.000000000000000e+00
72 1 4.660894699117444e-01 3.131968342895419e-05 1.000000000000000e+00 NA -0.000000000000000e+00
73 1 4.752932409387173e-01 -6.110128373570944e-05 1.000000000000000e+00 NA -0.000000000000000e+00
74 1 4.707886716788267e-01 -1.339145596190860e-06 1.000000000000000e+00 NA -0.000000000000000e+00
75 1 4.692645663100786e-01 -5.077104336947968e-06 1.000000000000000e+00 NA -0.000000000000000e+00
76 1 4.740446014175828e-01 -1.155069819729349e-04 1.000000000000000e+00 NA -0.000000000000000e+00
77 1 4.625408589479935e-01 1.488613561351215e-04 1.000000000000000e+00 NA -0.000000000000000e+00
78 1 4.706753183989443e-01 2.145382382678918e-05 1.000000000000000e+00 NA -0.000000000000000e+00
79 1 4.710004883445574e-01 2.823219116443454e-05 1.000000000000000e+00 NA -0.000000000000000e+00
80 1 4.699364026934161e-01 7.902830752470891e-06 1.000000000000000e+00 NA -0.000000000000000e+00
81 1 4.778192952781525e-01 -1.063928348976617e-04 1.000000000000000e+00 NA -0.000000000000000e+00
