i getaccept E*A dH rho ddH Q
0 1 2.908190072423665e-01 -1.112643824123261e-02 1.000000000000000e+00 NA -0.000000000000000e+00
1 1 3.843272550322000e-01 -3.577151225949038e-03 1.000000000000000e+00 NA -0.000000000000000e+00
2 1 4.260023643360997e-01 -1.768542706931164e-03 1.000000000000000e+00 NA -0.000000000000000e+00
3 1 4.415569559489814e-01 -7.932889759807438e-04 1.000000000000000e+00 NA -0.000000000000000e+00
4 1 4.522617745249602e-01 -1.311646467927474e-04 1.000000000000000e+00 NA -0.000000000000000e+00
5 1 4.792747332298828e-01 -1.409237780432449e-03 1.000000000000000e+00 NA -0.000000000000000e+00
6 1 4.790103943212961e-01 -7.171243009995720e-05 1.000000000000000e+00 NA -0.000000000000000e+00
7 1 4.909389093716768e-01 -6.423597365108336e-04 1.000000000000000e+00 NA -0.000000000000000e+00
8 1 4.792466207739219e-01 6.142256987864414e-04 1.000000000000000e+00 NA -0.000000000000000e+00
9 1 4.772599917370779e-01 1.165834546057454e-05 1.000000000000000e+00 NA -0.000000000000000e+00
10 1 4.729938654657260e-01 1.328606144195277e-04 1.000000000000000e+00 NA -0.000000000000000e+00
11 1 4.733361918023909e-01 4.496625187755399e-06 1.000000000000000e+00 NA -0.000000000000000e+00
12 1 4.770216273709867e-01 -6.557498859383060e-05 1.000000000000000e+00 NA -0.000000000000000e+00
13 1 4.804879372470378e-01 -8.792363452148066e-05 1.000000000000000e+00 NA -0.000000000000000e+00
14 1 4.794429824974188e-01 2.629539137473103e-04 1.000000000000000e+00 NA -0.000000000000000e+00
15 1 4.746863840427480e-01 2.654069323160257e-05 1.000000000000000e+00 NA -0.000000000000000e+00
16 1 4.727559258423271e-01 7.888529453570214e-05 1.000000000000000e+00 NA -0.000000000000000e+00
17 1 4.796381116512193e-01 -3.841490112268531e-04 1.000000000000000e+00 NA -0.000000000000000e+00
18 1 4.643456068024909e-01 6.066820929513383e-04 1.000000000000000e+00 NA -0.000000000000000e+00
19 1 4.786663044411062e-01 -5.233234275756615e-04 1.000000000000000e+00 NA -0.000000000000000e+00
20 1 4.731810515983005e-01 1.469518646679546e-04 1.000000000000000e+00 NA -0.000000000000000e+00
21 1 4.785884351264746e-01 -1.031971004588073e-04 1.000000000000000e+00 NA -0.000000000000000e+00
22 1 4.745651987820746e-01 2.299129635199293e-04 1.000000000000000e+00 NA -0.000000000000000e+00
23 1 4.785787680575754e-01 -2.065266830602042e-04 1.000000000000000e+00 NA -0.000000000000000e+00
24 1 4.786564508492968e-01 2.157710964567627e-04 1.000000000000000e+00 NA -0.000000000000000e+00
25 1 4.791008940014616e-01 1.989044507597626e-04 1.000000000000000e+00 NA -0.000000000000000e+00
26 1 4.762016052140888e-01 2.600834269150809e-04 1.000000000000000e+00 NA -0.000000000000000e+00
27 1 4.786191479387319e-01 -2.258281245470783e-04 1.000000000000000e+00 NA -0.000000000000000e+00
28 1 4.734015432442236e-01 2.226455777885050e-04 1.000000000000000e+00 NA -0.000000000000000e+00
29 1 4.754459776725724e-01 -1.613038141989875e-05 1.000000000000000e+00 NA -0.000000000000000e+00
