i getaccept E*A dH rho ddH Q
0 1 7.578461712635074e-01 9.355208516126368e-04 1.000000000000000e+00 NA -0.000000000000000e+00
1 1 6.589569008390999e-01 3.627728890478465e-04 1.000000000000000e+00 NA -0.000000000000000e+00
2 1 5.954688142247690e-01 2.378235681135266e-04 1.000000000000000e+00 NA -0.000000000000000e+00
3 1 5.697043642646114e-01 9.148597996500030e-05 1.000000000000000e+00 NA -0.000000000000000e+00
4 1 5.334562948219547e-01 8.835631297188229e-05 1.000000000000000e+00 NA -0.000000000000000e+00
5 1 5.227933885982938e-01 1.405015859745617e-05 1.000000000000000e+00 NA -0.000000000000000e+00
6 1 4.982613236937614e-01 3.255632964282995e-05 1.000000000000000e+00 NA -0.000000000000000e+00
7 1 5.007057502233809e-01 2.824117882482824e-05 1.000000000000000e+00 NA -0.000000000000000e+00
8 1 4.901222710837644e-01 2.425425577712303e-05 1.000000000000000e+00 NA -0.000000000000000e+00
9 1 4.766825597934683e-01 1.916202245411114e-05 1.000000000000000e+00 NA -0.000000000000000e+00
10 1 4.740216132459262e-01 -6.082300160414889e-06 1.000000000000000e+00 NA -0.000000000000000e+00
11 1 4.905587212327916e-01 -5.036991956330894e-05 1.000000000000000e+00 NA -0.000000000000000e+00
12 1 4.918751876048183e-01 -5.666214292432414e-06 1.000000000000000e+00 NA -0.000000000000000e+00
13 1 4.713739590232010e-01 6.569508082066022e-05 1.000000000000000e+00 NA -0.000000000000000e+00
14 1 4.660460302008500e-01 2.148126577594667e-05 1.000000000000000e+00 NA -0.000000000000000e+00
15 1 4.845581549973622e-01 -5.245809529696999e-05 1.000000000000000e+00 NA -0.000000000000000e+00
16 1 4.863880367028791e-01 2.479927684362337e-05 1.000000000000000e+00 NA -0.000000000000000e+00
17 1 4.858981077583178e-01 1.341661936749006e-05 1.000000000000000e+00 NA -0.000000000000000e+00
18 1 4.646369987879433e-01 5.392214256971783e-05 1.000000000000000e+00 NA -0.000000000000000e+00
19 1 4.677557968762761e-01 1.117811348194664e-05 1.000000000000000e+00 NA -0.000000000000000e+00
20 1 4.642537090711555e-01 2.374761561441119e-05 1.000000000000000e+00 NA -0.000000000000000e+00
21 1 4.778317895689558e-01 -4.025149564768071e-05 1.000000000000000e+00 NA -0.000000000000000e+00
22 1 4.990414135460526e-01 -5.079968923382694e-05 1.000000000000000e+00 NA -0.000000000000000e+00
23 1 4.560204620863769e-01 9.077964614334633e-05 1.000000000000000e+00 NA -0.000000000000000e+00
24 1 4.551537754420344e-01 2.275640304105764e-05 1.000000000000000e+00 NA -0.000000000000000e+00
25 1 4.765406962305142e-01 -8.247627079072117e-05 1.000000000000000e+00 NA -0.000000000000000e+00
26 1 4.737022428785607e-01 3.104787742813642e-05 1.000000000000000e+00 NA -0.000000000000000e+00
27 1 4.554088448112570e-01 1.915934694807220e-05 1.000000000000000e+00 NA -0.000000000000000e+00
28 1 4.707298757618408e-01 -3.553426518010383e-05 1.000000000000000e+00 NA -0.000000000000000e+00
