i getaccept E*A dH rho ddH Q
0 1 9.351433118838859e-01 2.624580856490866e-03 1.000000000000000e+00 NA -0.000000000000000e+00
1 1 9.205140542181899e-01 4.401183762183791e-04 1.000000000000000e+00 NA -0.000000000000000e+00
2 1 9.088018211506590e-01 4.428012380230939e-04 1.000000000000000e+00 NA -0.000000000000000e+00
3 1 9.095279663586870e-01 -7.570607476736768e-05 1.000000000000000e+00 NA -0.000000000000000e+00
4 1 9.012569618994490e-01 2.320603700809443e-04 1.000000000000000e+00 NA -0.000000000000000e+00
5 1 8.969120825971801e-01 1.566086307320802e-04 1.000000000000000e+00 NA -0.000000000000000e+00
6 1 8.943246791213246e-01 1.359527861950482e-04 1.000000000000000e+00 NA -0.000000000000000e+00
7 1 8.890125753339216e-01 1.565136840326886e-04 1.000000000000000e+00 NA -0.000000000000000e+00
8 1 8.886128144068326e-01 -3.886866011271195e-05 1.000000000000000e+00 NA -0.000000000000000e+00
9 1 8.843838459421267e-01 1.417370729086542e-04 1.000000000000000e+00 NA -0.000000000000000e+00
10 1 8.839061280528911e-01 4.482043709685968e-05 1.000000000000000e+00 NA -0.000000000000000e+00
11 1 8.914288053118581e-01 -2.738710297762736e-04 1.000000000000000e+00 NA -0.000000000000000e+00
12 1 8.896279859720093e-01 2.366808530496201e-06 1.000000000000000e+00 NA -0.000000000000000e+00
13 1 8.905215069871215e-01 6.889206133564585e-05 1.000000000000000e+00 NA -0.000000000000000e+00
14 1 8.895754182534437e-01 -5.514947133633541e-06 1.000000000000000e+00 NA -0.000000000000000e+00
15 1 8.884923439507517e-01 7.292178452189546e-06 1.000000000000000e+00 NA -0.000000000000000e+00
16 1 8.882940136949933e-01 -3.391116706552566e-06 1.000000000000000e+00 NA -0.000000000000000e+00
17 1 8.828221795002003e-01 1.292288886816095e-04 1.000000000000000e+00 NA -0.000000000000000e+00
18 1 8.808420166561675e-01 1.615339258478343e-04 1.000000000000000e+00 NA -0.000000000000000e+00
19 1 8.781176228262115e-01 3.037368128389062e-05 1.000000000000000e+00 NA -0.000000000000000e+00
20 1 8.801033949305876e-01 -8.100551985990023e-05 1.000000000000000e+00 NA -0.000000000000000e+00
21 1 8.790729785386523e-01 6.694701164633443e-05 1.000000000000000e+00 NA -0.000000000000000e+00
22 1 8.859132891996284e-01 -3.605328836329136e-04 1.000000000000000e+00 NA -0.000000000000000e+00
23 1 8.789084495585171e-01 2.823540833105653e-04 1.000000000000000e+00 NA -0.000000000000000e+00
24 1 8.798177006676636e-01 -4.586065961120767e-05 1.000000000000000e+00 NA -0.000000000000000e+00
25 1 8.869734846496822e-01 -2.470865574650816e-04 1.000000000000000e+00 NA -0.000000000000000e+00
26 1 8.863187741058267e-01 -3.245687071284920e-05 1.000000000000000e+00 NA -0.000000000000000e+00
27 1 8.804259925423695e-01 2.720491681884596e-04 1.000000000000000e+00 NA -0.000000000000000e+00
28 1 8.783859523920580e-01 8.281512486973952e-05 1.000000000000000e+00 NA -0.000000000000000e+00
29 1 8.813299809108029e-01 -2.040326967289730e-04 1.000000000000000e+00 NA -0.000000000000000e+00
30 1 8.819749981237776e-01 -6.558687346114311e-05 1.000000000000000e+00 NA -0.000000000000000e+00
31 1 8.783784496401928e-01 2.437682842355571e-04 1.000000000000000e+00 NA -0.000000000000000e+00
32 1 8.778271463037300e-01 3.240268915760680e-05 1.000000000000000e+00 NA -0.000000000000000e+00
33 1 8.755684592559932e-01 -6.538460024785309e-05 1.000000000000000e+00 NA -0.000000000000000e+00
34 1 8.749082574163904e-01 7.246103518809832e-05 1.000000000000000e+00 NA -0.000000000000000e+00
35 1 8.726711802966902e-01 9.904006583383307e-05 1.000000000000000e+00 NA -0.000000000000000e+00
36 1 8.730566431059128e-01 2.122504884027876e-05 1.000000000000000e+00 NA -0.000000000000000e+00
37 1 8.756497341888246e-01 -1.419932775661437e-04 1.000000000000000e+00 NA -0.000000000000000e+00
38 1 8.768411559976677e-01 -2.933792529802304e-06 1.000000000000000e+00 NA -0.000000000000000e+00
39 1 8.796984114650910e-01 -6.074152793189569e-05 1.000000000000000e+00 NA -0.000000000000000e+00
40 1 8.729901938836983e-01 2.245555663193954e-04 1.000000000000000e+00 NA -0.000000000000000e+00
41 1 8.786991831236201e-01 -1.977581898700009e-04 1.000000000000000e+00 NA -0.000000000000000e+00
42 1 8.768050964886760e-01 -2.775565053525497e-05 1.000000000000000e+00 NA -0.000000000000000e+00
43 1 8.766536768793485e-01 3.216149434592808e-05 1.000000000000000e+00 NA -0.000000000000000e+00
44 1 8.710618582208458e-01 2.010503355904802e-04 1.000000000000000e+00 NA -0.000000000000000e+00
45 1 8.690531326053581e-01 1.180512117571197e-04 1.000000000000000e+00 NA -0.000000000000000e+00
46 1 8.743469130873063e-01 -1.842485562519869e-04 1.000000000000000e+00 NA -0.000000000000000e+00
47 1 8.762435445113044e-01 -1.374435066736623e-04 1.000000000000000e+00 NA -0.000000000000000e+00
48 1 8.770910597762906e-01 7.939751412777696e-06 1.000000000000000e+00 NA -0.000000000000000e+00
49 1 8.796798891419646e-01 -9.449500885239104e-05 1.000000000000000e+00 NA -0.000000000000000e+00
50 1 8.773559554566771e-01 9.814548934627965e-05 1.000000000000000e+00 NA -0.000000000000000e+00
51 1 8.777257283887374e-01 -1.229513918588054e-05 1.000000000000000e+00 NA -0.000000000000000e+00
52 1 8.773346826280477e-01 5.430736405287462e-05 1.000000000000000e+00 NA -0.000000000000000e+00
53 1 8.752751274337457e-01 3.624141504587897e-05 1.000000000000000e+00 NA -0.000000000000000e+00
54 1 8.763246669731888e-01 -3.597964905566187e-06 1.000000000000000e+00 NA -0.000000000000000e+00
55 1 8.782434237563905e-01 -1.224341137913143e-04 1.000000000000000e+00 NA -0.000000000000000e+00
56 1 8.750049814198096e-01 1.301300737850397e-04 1.000000000000000e+00 NA -0.000000000000000e+00
57 1 8.742344070075128e-01 4.351935263002815e-05 1.000000000000000e+00 NA -0.000000000000000e+00
58 1 8.719010943186071e-01 1.116962343985506e-04 1.000000000000000e+00 NA -0.000000000000000e+00
59 1 8.729207586408122e-01 -8.853316876411554e-05 1.000000000000000e+00 NA -0.000000000000000e+00
60 1 8.732093988773661e-01 5.256547183307703e-05 1.000000000000000e+00 NA -0.000000000000000e+00
61 1 8.725611274954730e-01 -3.303913422314508e-05 1.000000000000000e+00 NA -0.000000000000000e+00
62 1 8.716451275380998e-01 4.092349513484805e-05 1.000000000000000e+00 NA -0.000000000000000e+00
63 1 8.739590508636874e-01 -1.343784456366848e-04 1.000000000000000e+00 NA -0.000000000000000e+00
64 1 8.724624625450181e-01 1.086298675545549e-05 1.000000000000000e+00 NA -0.000000000000000e+00
65 1 8.724609716212545e-01 6.375562384164368e-05 1.000000000000000e+00 NA -0.000000000000000e+00
66 1 8.738676858890347e-01 -1.267442089556425e-04 1.000000000000000e+00 NA -0.000000000000000e+00
67 1 8.757190079591651e-01 7.488423807444633e-05 1.000000000000000e+00 NA -0.000000000000000e+00
68 1 8.773698191690331e-01 -1.024035914269916e-04 1.000000000000000e+00 NA -0.000000000000000e+00
69 1 8.802762915038859e-01 -1.019122680645523e-04 1.000000000000000e+00 NA -0.000000000000000e+00
70 1 8.704304958594858e-01 3.968565690684045e-04 1.000000000000000e+00 NA -0.000000000000000e+00
71 1 8.801980551395193e-01 -4.261198716903891e-04 1.000000000000000e+00 NA -0.000000000000000e+00
72 1 8.768091867120927e-01 1.044343891862809e-04 1.000000000000000e+00 NA -0.000000000000000e+00
73 1 8.751000602186261e-01 1.063064278241654e-04 1.000000000000000e+00 NA -0.000000000000000e+00
74 1 8.734673167835851e-01 -2.467250010340649e-05 1.000000000000000e+00 NA -0.000000000000000e+00
75 1 8.723017317729378e-01 3.720476479429635e-05 1.000000000000000e+00 NA -0.000000000000000e+00
76 1 8.687708223514107e-01 2.473974570875725e-04 1.000000000000000e+00 NA -0.000000000000000e+00
77 1 8.732101372940957e-01 -2.557613699991634e-04 1.000000000000000e+00 NA -0.000000000000000e+00
78 1 8.709900984221194e-01 2.038092702605354e-05 1.000000000000000e+00 NA -0.000000000000000e+00
79 1 8.672395710680407e-01 1.357194432785036e-04 1.000000000000000e+00 NA -0.000000000000000e+00
80 1 8.648452070583665e-01 1.115525908517156e-04 1.000000000000000e+00 NA -0.000000000000000e+00
81 1 8.654262326541990e-01 -2.197890330535301e-05 1.000000000000000e+00 NA -0.000000000000000e+00
82 1 8.724200203095840e-01 -2.281411477724760e-04 1.000000000000000e+00 NA -0.000000000000000e+00
83 1 8.731573245789348e-01 -6.252793923522404e-05 1.000000000000000e+00 NA -0.000000000000000e+00
84 1 8.715767100022253e-01 9.547601166559616e-05 1.000000000000000e+00 NA -0.000000000000000e+00
85 1 8.704900967675557e-01 1.160870397143299e-05 1.000000000000000e+00 NA -0.000000000000000e+00
86 1 8.710371384622416e-01 -2.222066450485727e-05 1.000000000000000e+00 NA -0.000000000000000e+00
