t r=1 r=2 r=3 r=4 r=5 r=6 r=7
1    6.281493e-01    5.968438e-01    5.675501e-01    5.388921e-01    5.116156e-01    4.848589e-01    4.597444e-01
2    5.993287e-01    5.541746e-01    5.148895e-01    4.789758e-01    4.453467e-01    4.139108e-01    3.869296e-01
3    5.723336e-01    5.162865e-01    4.724269e-01    4.309675e-01    3.961639e-01    3.650699e-01    3.433535e-01
4    5.473208e-01    4.827106e-01    4.336214e-01    3.877826e-01    3.463887e-01    3.093801e-01    2.856401e-01
5    5.231261e-01    4.506421e-01    3.982445e-01    3.489642e-01    3.060763e-01    2.696947e-01    2.402313e-01
6    4.993112e-01    4.187800e-01    3.598129e-01    3.055121e-01    2.604389e-01    2.253198e-01    1.966501e-01
7    4.771274e-01    3.916456e-01    3.302987e-01    2.722601e-01    2.248824e-01    1.883528e-01    1.570085e-01
8    4.568956e-01    3.692596e-01    3.082298e-01    2.484137e-01    2.039885e-01    1.641292e-01    1.329236e-01
9    4.366827e-01    3.463655e-01    2.862627e-01    2.254683e-01    1.837880e-01    1.431642e-01    1.123457e-01
10    4.169292e-01    3.254916e-01    2.656610e-01    2.054965e-01    1.687573e-01    1.250250e-01    9.052431e-02
11    3.979510e-01    3.070981e-01    2.458779e-01    1.843519e-01    1.472955e-01    1.043036e-01    7.104027e-02
12    3.797560e-01    2.885366e-01    2.295894e-01    1.688140e-01    1.381116e-01    9.650671e-02    6.451005e-02
13    3.639845e-01    2.729326e-01    2.131018e-01    1.529905e-01    1.274377e-01    8.647773e-02    6.238495e-02
14    3.482355e-01    2.577013e-01    1.991385e-01    1.329524e-01    1.166094e-01    7.902327e-02    6.144659e-02
15    3.337513e-01    2.459280e-01    1.905145e-01    1.244053e-01    1.099836e-01    7.000435e-02    4.774152e-02
16    3.186651e-01    2.345799e-01    1.814354e-01    1.144580e-01    1.050476e-01    6.711315e-02    5.136723e-02
17    3.034060e-01    2.218868e-01    1.687604e-01    1.021843e-01    9.725829e-02    6.017521e-02    4.884685e-02
18    2.894699e-01    2.092531e-01    1.602141e-01    9.449983e-02    9.061755e-02    5.842814e-02    5.167840e-02
19    2.749514e-01    1.970410e-01    1.510597e-01    9.022395e-02    9.088481e-02    5.852930e-02    4.953418e-02
20    2.607642e-01    1.845919e-01    1.436418e-01    8.753344e-02    8.655643e-02    5.768249e-02    4.837309e-02
21    2.488466e-01    1.741905e-01    1.366550e-01    8.246214e-02    8.288427e-02    5.531296e-02    4.431509e-02
22    2.363259e-01    1.626319e-01    1.298622e-01    7.501783e-02    8.288281e-02    5.851405e-02    5.147446e-02
23    2.246018e-01    1.540980e-01    1.233420e-01    7.369521e-02    8.915156e-02    6.373316e-02    6.208210e-02
24    2.134500e-01    1.472858e-01    1.177676e-01    6.982906e-02    8.567935e-02    6.101441e-02    6.631609e-02
25    2.022611e-01    1.390258e-01    1.115177e-01    6.831805e-02    8.687064e-02    6.170079e-02    6.934854e-02
26    1.911984e-01    1.331136e-01    1.057167e-01    6.388208e-02    8.671266e-02    6.971967e-02    8.151614e-02
27    1.826638e-01    1.279164e-01    1.020288e-01    5.540934e-02    8.490899e-02    7.500580e-02    8.804228e-02
28    1.733834e-01    1.235012e-01    1.000765e-01    5.344460e-02    8.554542e-02    8.184192e-02    9.399880e-02
29    1.645223e-01    1.182247e-01    9.272694e-02    4.974749e-02    7.929494e-02    8.615314e-02    1.041149e-01
30    1.564067e-01    1.132645e-01    8.727685e-02    4.352583e-02    7.654061e-02    9.109486e-02    1.094569e-01
31    1.488880e-01    1.127472e-01    8.336941e-02    3.541768e-02    7.455654e-02    9.223079e-02    1.110937e-01
