i getaccept E*A dH rho ddH Q
25 1 9.487770067389314e-01 -2.517358961995342e-04 1.000000000000000e+00 NA -0.000000000000000e+00
26 1 9.476372144819806e-01 3.192889143974753e-04 1.000000000000000e+00 NA -0.000000000000000e+00
27 1 9.479705971224153e-01 -2.753359249254572e-04 1.000000000000000e+00 NA -0.000000000000000e+00
28 1 9.453954870333222e-01 1.013956229144242e-03 1.000000000000000e+00 NA -0.000000000000000e+00
29 1 9.459248362199106e-01 -2.141936370207986e-04 1.000000000000000e+00 NA -0.000000000000000e+00
30 1 9.464338171001351e-01 -3.474008876764856e-04 1.000000000000000e+00 NA -0.000000000000000e+00
31 1 9.468144468049289e-01 4.365094582681195e-05 1.000000000000000e+00 NA -0.000000000000000e+00
32 1 9.454438681142208e-01 3.966112108173547e-04 1.000000000000000e+00 NA -0.000000000000000e+00
33 1 9.462584337419911e-01 -5.176343834136787e-04 1.000000000000000e+00 NA -0.000000000000000e+00
34 1 9.455773082363599e-01 2.740269560490560e-04 1.000000000000000e+00 NA -0.000000000000000e+00
35 1 9.457193049768107e-01 6.883394553369726e-05 1.000000000000000e+00 NA -0.000000000000000e+00
36 1 9.468195070519867e-01 -2.449256671752664e-04 1.000000000000000e+00 NA -0.000000000000000e+00
37 1 9.458750301683888e-01 2.798488321786863e-04 1.000000000000000e+00 NA -0.000000000000000e+00
38 1 9.466380612968456e-01 -6.840715877842740e-05 1.000000000000000e+00 NA -0.000000000000000e+00
39 1 9.472400875975533e-01 -1.974345050257398e-04 1.000000000000000e+00 NA -0.000000000000000e+00
40 1 9.465065955502215e-01 3.258366209593078e-04 1.000000000000000e+00 NA -0.000000000000000e+00
41 1 9.462920783225197e-01 -9.765441245690454e-05 1.000000000000000e+00 NA -0.000000000000000e+00
42 1 9.462069701945680e-01 9.970256814995082e-05 1.000000000000000e+00 NA -0.000000000000000e+00
43 1 9.451130411458976e-01 1.430211891602085e-04 1.000000000000000e+00 NA -0.000000000000000e+00
44 1 9.432982908649531e-01 6.391073065969977e-04 1.000000000000000e+00 NA -0.000000000000000e+00
45 1 9.449085870030328e-01 -5.627892119264288e-04 1.000000000000000e+00 NA -0.000000000000000e+00
46 1 9.462126318554909e-01 -2.399653603788465e-04 1.000000000000000e+00 NA -0.000000000000000e+00
47 1 9.466885100537923e-01 -2.468255274834519e-04 1.000000000000000e+00 NA -0.000000000000000e+00
48 1 9.469714483954244e-01 2.259079242321604e-04 1.000000000000000e+00 NA -0.000000000000000e+00
49 1 9.465455427921056e-01 -2.664814428499085e-05 1.000000000000000e+00 NA -0.000000000000000e+00
50 1 9.461975542211715e-01 2.158030420105206e-04 1.000000000000000e+00 NA -0.000000000000000e+00
51 1 9.460571463645413e-01 -5.319399610925757e-04 1.000000000000000e+00 NA -0.000000000000000e+00
52 1 9.463229460984248e-01 3.523139230310335e-04 1.000000000000000e+00 NA -0.000000000000000e+00
53 1 9.463126005600860e-01 -2.262960515508894e-05 1.000000000000000e+00 NA -0.000000000000000e+00
54 1 9.471260759510893e-01 -2.965650828627986e-04 1.000000000000000e+00 NA -0.000000000000000e+00
55 1 9.456859891770899e-01 3.667211253741698e-04 1.000000000000000e+00 NA -0.000000000000000e+00
56 1 9.463782268640740e-01 -6.215513167262543e-05 1.000000000000000e+00 NA -0.000000000000000e+00
57 1 9.444793127532014e-01 4.532450388978759e-04 1.000000000000000e+00 NA -0.000000000000000e+00
58 1 9.445927193827284e-01 -2.233846057606570e-04 1.000000000000000e+00 NA -0.000000000000000e+00
59 1 9.467205155038092e-01 -6.470048774644965e-04 1.000000000000000e+00 NA -0.000000000000000e+00
60 1 9.451513237103495e-01 7.363177205661486e-04 1.000000000000000e+00 NA -0.000000000000000e+00
61 1 9.468285070682361e-01 -2.820292056640028e-04 1.000000000000000e+00 NA -0.000000000000000e+00
62 1 9.468129728920980e-01 -2.588232923699252e-04 1.000000000000000e+00 NA -0.000000000000000e+00
63 1 9.471991497305396e-01 -1.455123892810661e-04 1.000000000000000e+00 NA -0.000000000000000e+00
64 1 9.461796819795693e-01 3.064357210860180e-04 1.000000000000000e+00 NA -0.000000000000000e+00
65 1 9.446917934628312e-01 4.072930078109493e-04 1.000000000000000e+00 NA -0.000000000000000e+00
66 1 9.446920795490357e-01 -1.882929368548503e-04 1.000000000000000e+00 NA -0.000000000000000e+00
67 1 9.452171733465589e-01 2.310623076482443e-04 1.000000000000000e+00 NA -0.000000000000000e+00
68 1 9.477476399817555e-01 -8.595211029387428e-04 1.000000000000000e+00 NA -0.000000000000000e+00
69 1 9.455738383628091e-01 6.470123648796289e-04 1.000000000000000e+00 NA -0.000000000000000e+00
70 1 9.452742881193280e-01 1.587014157848898e-04 1.000000000000000e+00 NA -0.000000000000000e+00
71 1 9.453540276746950e-01 -2.819301553245168e-04 1.000000000000000e+00 NA -0.000000000000000e+00
72 1 9.445996562206737e-01 1.367768745694775e-04 1.000000000000000e+00 NA -0.000000000000000e+00
73 1 9.449747358144605e-01 2.411721088719787e-04 1.000000000000000e+00 NA -0.000000000000000e+00
74 1 9.440285177725436e-01 3.460500338405836e-04 1.000000000000000e+00 NA -0.000000000000000e+00
75 1 9.432530116888636e-01 1.339136738351954e-04 1.000000000000000e+00 NA -0.000000000000000e+00
76 1 9.449870145536821e-01 -5.346618809198844e-04 1.000000000000000e+00 NA -0.000000000000000e+00
77 1 9.457087153013287e-01 -2.442240233904158e-04 1.000000000000000e+00 NA -0.000000000000000e+00
78 1 9.447336121727117e-01 2.191301100538112e-04 1.000000000000000e+00 NA -0.000000000000000e+00
79 1 9.444982093629238e-01 -1.282715902561904e-05 1.000000000000000e+00 NA -0.000000000000000e+00
80 1 9.431007304663559e-01 3.370399808773072e-04 1.000000000000000e+00 NA -0.000000000000000e+00
81 1 9.447980787791335e-01 -3.588600670809683e-04 1.000000000000000e+00 NA -0.000000000000000e+00
82 1 9.462287044451352e-01 -3.746720208255283e-04 1.000000000000000e+00 NA -0.000000000000000e+00
83 1 9.470829916158925e-01 -1.110773205255100e-04 1.000000000000000e+00 NA -0.000000000000000e+00
84 1 9.470682371659298e-01 -1.373836507809756e-04 1.000000000000000e+00 NA -0.000000000000000e+00
85 1 9.478005688969355e-01 -1.854198144428665e-04 1.000000000000000e+00 NA -0.000000000000000e+00
86 1 9.476153664912066e-01 1.387732941111608e-04 1.000000000000000e+00 NA -0.000000000000000e+00
