i getaccept E*A dH rho ddH Q
0 1 9.403481750822849e-01 6.536851165037660e-03 1.000000000000000e+00 NA -0.000000000000000e+00
1 1 9.210259267274044e-01 1.831963640142931e-03 1.000000000000000e+00 NA -0.000000000000000e+00
2 1 9.076746314943958e-01 1.109564317630429e-03 1.000000000000000e+00 NA -0.000000000000000e+00
3 1 8.995239508208615e-01 6.802011121180840e-04 1.000000000000000e+00 NA -0.000000000000000e+00
4 1 8.922659690654953e-01 7.110677242962993e-04 1.000000000000000e+00 NA -0.000000000000000e+00
5 1 8.886481136517994e-01 2.503197538317181e-04 1.000000000000000e+00 NA -0.000000000000000e+00
6 1 8.791714484994940e-01 8.747038255023654e-04 1.000000000000000e+00 NA -0.000000000000000e+00
7 1 8.766666540009634e-01 1.570436270412756e-04 1.000000000000000e+00 NA -0.000000000000000e+00
8 1 8.740077232242479e-01 1.931931192302727e-04 1.000000000000000e+00 NA -0.000000000000000e+00
9 1 8.734065010663375e-01 2.343078058402170e-04 1.000000000000000e+00 NA -0.000000000000000e+00
10 1 8.706576032869134e-01 1.346551080132485e-04 1.000000000000000e+00 NA -0.000000000000000e+00
11 1 8.657338916623224e-01 3.949805750380619e-04 1.000000000000000e+00 NA -0.000000000000000e+00
12 1 8.614308398635564e-01 2.668455954335514e-04 1.000000000000000e+00 NA -0.000000000000000e+00
13 1 8.639864203212757e-01 -1.452226488254382e-04 1.000000000000000e+00 NA -0.000000000000000e+00
14 1 8.629863049382328e-01 9.679730464995373e-05 1.000000000000000e+00 NA -0.000000000000000e+00
15 1 8.624482755339599e-01 -2.723495617829030e-05 1.000000000000000e+00 NA -0.000000000000000e+00
16 1 8.588517341685279e-01 3.337139942232170e-04 1.000000000000000e+00 NA -0.000000000000000e+00
17 1 8.587358248164290e-01 1.006486754704383e-04 1.000000000000000e+00 NA -0.000000000000000e+00
18 1 8.564501370123724e-01 2.553988297222531e-04 1.000000000000000e+00 NA -0.000000000000000e+00
19 1 8.594035318713700e-01 -2.467939575581113e-04 1.000000000000000e+00 NA -0.000000000000000e+00
20 1 8.550977862667193e-01 3.117737633147044e-04 1.000000000000000e+00 NA -0.000000000000000e+00
21 1 8.533891389469703e-01 1.960842937478446e-04 1.000000000000000e+00 NA -0.000000000000000e+00
22 1 8.536284822044442e-01 -7.619705229444662e-05 1.000000000000000e+00 NA -0.000000000000000e+00
23 1 8.504036302707380e-01 2.190048244301579e-04 1.000000000000000e+00 NA -0.000000000000000e+00
24 1 8.472802678635449e-01 3.953242639909149e-04 1.000000000000000e+00 NA -0.000000000000000e+00
25 1 8.468026324172528e-01 -1.256431860383600e-04 1.000000000000000e+00 NA -0.000000000000000e+00
26 1 8.486436274519665e-01 -2.310718446096871e-04 1.000000000000000e+00 NA -0.000000000000000e+00
27 1 8.471890353377347e-01 2.305835823790403e-04 1.000000000000000e+00 NA -0.000000000000000e+00
28 1 8.467309334189228e-01 -1.710579726932338e-05 1.000000000000000e+00 NA -0.000000000000000e+00
29 1 8.453473498523771e-01 4.821174388780491e-05 1.000000000000000e+00 NA -0.000000000000000e+00
30 1 8.413634630242895e-01 5.405733227235032e-04 1.000000000000000e+00 NA -0.000000000000000e+00
31 1 8.393972256842384e-01 4.735663878818741e-05 1.000000000000000e+00 NA -0.000000000000000e+00
32 1 8.445121109714850e-01 -5.180576754355570e-04 1.000000000000000e+00 NA -0.000000000000000e+00
33 1 8.429289727911004e-01 1.035551658787881e-04 1.000000000000000e+00 NA -0.000000000000000e+00
34 1 8.408663569261249e-01 3.327861859361292e-04 1.000000000000000e+00 NA -0.000000000000000e+00
35 1 8.400240391180486e-01 1.241832524101483e-04 1.000000000000000e+00 NA -0.000000000000000e+00
36 1 8.419093921378753e-01 -1.389424442095333e-04 1.000000000000000e+00 NA -0.000000000000000e+00
37 1 8.388544400042548e-01 1.705369177216198e-04 1.000000000000000e+00 NA -0.000000000000000e+00
38 1 8.423770652143842e-01 -1.885736637632363e-04 1.000000000000000e+00 NA -0.000000000000000e+00
39 1 8.433895963721172e-01 -6.458016832766589e-05 1.000000000000000e+00 NA -0.000000000000000e+00
40 1 8.402496035973287e-01 2.865635433408897e-04 1.000000000000000e+00 NA -0.000000000000000e+00
41 1 8.401494632178246e-01 -8.088218419288751e-05 1.000000000000000e+00 NA -0.000000000000000e+00
42 1 8.399130957217583e-01 4.221953258820577e-05 1.000000000000000e+00 NA -0.000000000000000e+00
43 1 8.373893674845942e-01 1.487167091909214e-04 1.000000000000000e+00 NA -0.000000000000000e+00
44 1 8.361873130950805e-01 2.155729189325939e-04 1.000000000000000e+00 NA -0.000000000000000e+00
45 1 8.386596760052198e-01 -1.711969298412441e-04 1.000000000000000e+00 NA -0.000000000000000e+00
46 1 8.387192640811537e-01 -5.820087062602397e-05 1.000000000000000e+00 NA -0.000000000000000e+00
47 1 8.412973972913744e-01 -2.465109773766017e-04 1.000000000000000e+00 NA -0.000000000000000e+00
48 1 8.441239984538980e-01 -1.180799981739256e-04 1.000000000000000e+00 NA -0.000000000000000e+00
49 1 8.432094186000028e-01 -1.489721116740839e-04 1.000000000000000e+00 NA -0.000000000000000e+00
50 1 8.413827477836252e-01 4.864850279773236e-04 1.000000000000000e+00 NA -0.000000000000000e+00
51 1 8.434722877429821e-01 -3.668968302008579e-04 1.000000000000000e+00 NA -0.000000000000000e+00
52 1 8.425886564078517e-01 1.892958634925890e-04 1.000000000000000e+00 NA -0.000000000000000e+00
53 1 8.415808930331123e-01 3.960031335736858e-05 1.000000000000000e+00 NA -0.000000000000000e+00
54 1 8.388252241911687e-01 1.770214075804688e-04 1.000000000000000e+00 NA -0.000000000000000e+00
55 1 8.362655404842478e-01 1.446120959371910e-04 1.000000000000000e+00 NA -0.000000000000000e+00
56 1 8.322283280348387e-01 4.412510152178584e-04 1.000000000000000e+00 NA -0.000000000000000e+00
57 1 8.304292033023968e-01 1.503218782090698e-04 1.000000000000000e+00 NA -0.000000000000000e+00
58 1 8.335745210258346e-01 -2.218139079559478e-04 1.000000000000000e+00 NA -0.000000000000000e+00
59 1 8.351151335343163e-01 -3.202352518201224e-04 1.000000000000000e+00 NA -0.000000000000000e+00
