i getaccept E*A dH rho ddH Q
0 1 9.304204861558705e-01 9.374164651489991e-04 1.000000000000000e+00 NA -0.000000000000000e+00
1 1 9.057617739532069e-01 3.798729208028817e-04 1.000000000000000e+00 NA -0.000000000000000e+00
2 1 8.891731090431685e-01 2.210821753578784e-04 1.000000000000000e+00 NA -0.000000000000000e+00
3 1 8.765965113707734e-01 1.954487531747873e-04 1.000000000000000e+00 NA -0.000000000000000e+00
4 1 8.600563851687726e-01 2.256585357827134e-04 1.000000000000000e+00 NA -0.000000000000000e+00
5 1 8.479215263201287e-01 1.546770852201007e-04 1.000000000000000e+00 NA -0.000000000000000e+00
6 1 8.391786342125214e-01 1.462064674342400e-04 1.000000000000000e+00 NA -0.000000000000000e+00
7 1 8.269414753163851e-01 1.648247909997735e-04 1.000000000000000e+00 NA -0.000000000000000e+00
8 1 8.187315163964809e-01 4.667385928769363e-05 1.000000000000000e+00 NA -0.000000000000000e+00
9 1 8.144676864649012e-01 1.289514434574812e-04 1.000000000000000e+00 NA -0.000000000000000e+00
10 1 8.131608004717772e-01 5.220822959017823e-05 1.000000000000000e+00 NA -0.000000000000000e+00
11 1 8.167146116275652e-01 1.268724167857727e-05 1.000000000000000e+00 NA -0.000000000000000e+00
12 1 8.089952230708574e-01 9.485716736890026e-05 1.000000000000000e+00 NA -0.000000000000000e+00
13 1 8.078861071507391e-01 4.128855516682961e-05 1.000000000000000e+00 NA -0.000000000000000e+00
14 1 8.006168559484044e-01 4.704178809333825e-05 1.000000000000000e+00 NA -0.000000000000000e+00
15 1 7.946626806645708e-01 1.388949908687209e-05 1.000000000000000e+00 NA -0.000000000000000e+00
16 1 7.926566066228348e-01 -1.536227205178875e-05 1.000000000000000e+00 NA -0.000000000000000e+00
17 1 7.856155285571684e-01 6.418209591174673e-05 1.000000000000000e+00 NA -0.000000000000000e+00
18 1 7.854527273196363e-01 5.892825970477134e-05 1.000000000000000e+00 NA -0.000000000000000e+00
19 1 7.769070455458966e-01 1.013965479614853e-04 1.000000000000000e+00 NA -0.000000000000000e+00
20 1 7.773791832066644e-01 1.647703174967319e-05 1.000000000000000e+00 NA -0.000000000000000e+00
21 1 7.816125216847390e-01 -5.546839156522765e-05 1.000000000000000e+00 NA -0.000000000000000e+00
22 1 7.822780769593748e-01 -2.626034984132275e-05 1.000000000000000e+00 NA -0.000000000000000e+00
23 1 7.771243060715582e-01 5.339315066521522e-06 1.000000000000000e+00 NA -0.000000000000000e+00
24 1 7.897798433005009e-01 -7.879154895817919e-05 1.000000000000000e+00 NA -0.000000000000000e+00
25 1 7.890042236345960e-01 3.339348586450797e-05 1.000000000000000e+00 NA -0.000000000000000e+00
26 1 7.842239197444696e-01 -7.975140761118382e-07 1.000000000000000e+00 NA -0.000000000000000e+00
27 1 7.720109358507214e-01 8.381401266888133e-05 1.000000000000000e+00 NA -0.000000000000000e+00
28 1 7.746558458331637e-01 -3.347157803545997e-05 1.000000000000000e+00 NA -0.000000000000000e+00
29 1 7.778400842482887e-01 -2.668825959517562e-05 1.000000000000000e+00 NA -0.000000000000000e+00
