i getaccept E*A dH rho ddH Q
0 1 8.623932032016637e-01 3.378987765700003e-03 1.000000000000000e+00 NA -0.000000000000000e+00
1 1 7.919546004927467e-01 1.840485926550173e-03 1.000000000000000e+00 NA -0.000000000000000e+00
2 1 7.415874439926547e-01 1.181453535537003e-03 1.000000000000000e+00 NA -0.000000000000000e+00
3 1 7.122469198767273e-01 6.601411269002710e-04 1.000000000000000e+00 NA -0.000000000000000e+00
4 1 6.865315491131698e-01 5.999238010190311e-04 1.000000000000000e+00 NA -0.000000000000000e+00
5 1 6.754300088010876e-01 2.464594408593257e-04 1.000000000000000e+00 NA -0.000000000000000e+00
6 1 6.605945392392827e-01 2.276165369039518e-04 1.000000000000000e+00 NA -0.000000000000000e+00
7 1 6.435836830810568e-01 3.161769882353838e-04 1.000000000000000e+00 NA -0.000000000000000e+00
8 1 6.299797037343289e-01 2.674516490515089e-04 1.000000000000000e+00 NA -0.000000000000000e+00
9 1 6.313227811693405e-01 3.973013917857315e-06 1.000000000000000e+00 NA -0.000000000000000e+00
10 1 6.225681832558458e-01 1.593068591319025e-04 1.000000000000000e+00 NA -0.000000000000000e+00
11 1 6.218423937991956e-01 6.272718565014657e-06 1.000000000000000e+00 NA -0.000000000000000e+00
12 1 6.152995192672779e-01 1.607362228241982e-04 1.000000000000000e+00 NA -0.000000000000000e+00
13 1 6.111544579611261e-01 1.991366934817052e-05 1.000000000000000e+00 NA -0.000000000000000e+00
14 1 6.092714953281811e-01 7.579104658361757e-05 1.000000000000000e+00 NA -0.000000000000000e+00
15 1 5.962469401779876e-01 1.738247619869071e-04 1.000000000000000e+00 NA -0.000000000000000e+00
16 1 5.928440199884691e-01 1.569852911416092e-04 1.000000000000000e+00 NA -0.000000000000000e+00
17 1 5.925737406719037e-01 -7.757773346384056e-06 1.000000000000000e+00 NA -0.000000000000000e+00
18 1 5.874767776997134e-01 9.633741774450755e-05 1.000000000000000e+00 NA -0.000000000000000e+00
19 1 5.913901774951149e-01 8.072571017692098e-05 1.000000000000000e+00 NA -0.000000000000000e+00
20 1 5.892500917102923e-01 7.882630598032847e-05 1.000000000000000e+00 NA -0.000000000000000e+00
21 1 5.963793518509648e-01 -1.230603465955937e-04 1.000000000000000e+00 NA -0.000000000000000e+00
22 1 5.974316286371498e-01 -8.851208713167580e-05 1.000000000000000e+00 NA -0.000000000000000e+00
23 1 5.945010992096558e-01 1.612750393178430e-04 1.000000000000000e+00 NA -0.000000000000000e+00
24 1 5.909458240964924e-01 8.956732108345022e-05 1.000000000000000e+00 NA -0.000000000000000e+00
25 1 5.837249930019409e-01 1.385132100040209e-04 1.000000000000000e+00 NA -0.000000000000000e+00
26 1 5.851422717711714e-01 -6.839988691353938e-05 1.000000000000000e+00 NA -0.000000000000000e+00
27 1 5.959519451943007e-01 -1.731552702040062e-04 1.000000000000000e+00 NA -0.000000000000000e+00
28 1 5.945878487497548e-01 -6.722224497934803e-06 1.000000000000000e+00 NA -0.000000000000000e+00
